,,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,CaseIncLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,PaidLoss,Inc,Inc,Inc,Inc,Inc,Inc,Inc,Inc,Inc,Pd,Pd,Pd,Pd,Pd,Pd,Pd,Pd,Pd
Lag,,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,2_1,3_2,4_3,5_4,6_5,7_6,8_7,9_8,10_9,2_1,3_2,4_3,5_4,6_5,7_6,8_7,9_8,10_9
Line,AY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comm Auto,1988,110231.0,152848.0,168137.0,180062.0,186150.0,188142.0,189352.0,191307.0,191867.0,194000.0,54699.0,108337.0,143899.0,164818.0,179538.0,185391.0,188023.0,189759.0,190520.0,193499.0,1.3866153804283732,1.1000274782790747,1.0709243057744577,1.0338105763570327,1.0107010475423046,1.0064313125192674,1.010324686298534,1.0029272321451908,1.011117075891112,1.980602936068301,1.3282535052659756,1.1453727961973328,1.0893106335473066,1.0326003408749123,1.0141970214303824,1.0092329129946869,1.0040103499702253,1.0156361536846525
Comm Auto,1989,121678.0,158218.0,176744.0,188127.0,192966.0,196104.0,199178.0,199655.0,200949.0,,60091.0,119366.0,151151.0,174665.0,185469.0,192213.0,196152.0,198013.0,199997.0,,1.3003007938986506,1.1170916077816684,1.0644038835830354,1.0257219856798865,1.0162619321538509,1.0156753559335863,1.0023948428039242,1.0064811800355613,,1.986420595430264,1.2662818558048357,1.155566288016619,1.0618555520567945,1.0363618717952865,1.0204928906993804,1.0094875402748889,1.0100195441713422,
Comm Auto,1990,123376.0,175239.0,201955.0,214113.0,219988.0,223308.0,225841.0,226373.0,,,65860.0,130803.0,172390.0,197977.0,210230.0,219267.0,222428.0,224078.0,,,1.4203653871093243,1.1524546476526345,1.0602015300438217,1.027438782325221,1.015091732276306,1.0113430777222492,1.0023556395871431,,,1.9860765259641664,1.3179361329633112,1.1484250826614073,1.0618910277456473,1.0429862531513105,1.014416214022174,1.0074181308108692,,
Comm Auto,1991,117457.0,162601.0,183338.0,198607.0,203398.0,205870.0,206957.0,,,,61946.0,121108.0,158880.0,182689.0,195247.0,201854.0,204911.0,,,,1.384344909200814,1.1275330410022077,1.0832833346060282,1.0241230168120963,1.0121535118339413,1.0052800310875796,,,,1.9550576308397636,1.3118869108564257,1.1498552366565962,1.0687397708674304,1.0338391883101916,1.0151446094702112,,,
Comm Auto,1992,124611.0,166788.0,189771.0,201033.0,206826.0,212361.0,,,,,65043.0,128550.0,164433.0,187508.0,199823.0,208008.0,,,,,1.3384693165129884,1.1377976832865673,1.0593452108067092,1.0288161645103042,1.0267616257143686,,,,,1.976384853097182,1.2791365227537923,1.140330712204971,1.065677197772895,1.0409612507068755,,,,
Comm Auto,1993,137902.0,185952.0,209357.0,220428.0,226541.0,,,,,,72295.0,144579.0,185446.0,208388.0,219345.0,,,,,,1.3484358457455294,1.1258658148339356,1.0528809640948236,1.0277324114903732,,,,,,1.999847845632478,1.282662074021815,1.1237125632259526,1.0525798030596771,,,,,
Comm Auto,1994,150582.0,194528.0,216205.0,231077.0,,,,,,,81988.0,151197.0,189630.0,212446.0,,,,,,,1.2918409902910042,1.111433829577233,1.0687865683032307,,,,,,,1.8441357271795873,1.254191551419671,1.1203185150029005,,,,,,
Comm Auto,1995,150511.0,194730.0,215037.0,,,,,,,,83207.0,152470.0,190974.0,,,,,,,,1.293792480283833,1.104282853181328,,,,,,,,1.832417945605538,1.2525349249032596,,,,,,,
Comm Auto,1996,142301.0,184283.0,,,,,,,,,79699.0,143590.0,,,,,,,,,1.2950225226807963,,,,,,,,,1.8016537221295124,,,,,,,,
Comm Auto,1997,143970.0,,,,,,,,,,75827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liab,1988,22417.0,58806.0,77536.0,103003.0,112976.0,120070.0,124641.0,126954.0,127444.0,128036.0,3962.0,26287.0,53000.0,92637.0,106336.0,116677.0,120616.0,123777.0,125856.0,127920.0,2.623276977294018,1.3185049144645105,1.3284538794882377,1.096822422647884,1.0627920974366236,1.0380694594819688,1.018557296555708,1.0038596657056886,1.004645177489721,6.634780413932357,2.0162057290676,1.747867924528302,1.1478782775780736,1.0972483448690942,1.03375986698321,1.0262071366982821,1.0167963353450156,1.0163996948893974
Other Liab,1989,24740.0,55381.0,76543.0,97608.0,113777.0,124341.0,126171.0,128952.0,132618.0,,6066.0,28297.0,60135.0,84025.0,103086.0,117532.0,122380.0,126114.0,131199.0,,2.2385206143896523,1.3821166103898448,1.275204786851835,1.1656524055405295,1.092848290955114,1.0147175911404926,1.0220415150866682,1.028429182951796,,4.664853280580283,2.1251369403116938,1.3972728028602313,1.226849152038084,1.140135420910696,1.041248340877378,1.0305115214904397,1.040320662257957,
Other Liab,1990,19432.0,63891.0,94243.0,119678.0,124938.0,129990.0,133964.0,133949.0,,,3751.0,31503.0,68116.0,100424.0,112788.0,123077.0,129081.0,132513.0,,,3.287927130506381,1.4750590850041476,1.2698874186942266,1.043951269239125,1.0404360562839168,1.0305715824294177,0.9998880296198979,,,8.398560383897628,2.1622067739580357,1.4743085325033767,1.123117979765793,1.0912242437138702,1.0487824695109567,1.0265879563994702,,
Other Liab,1991,25821.0,84453.0,136275.0,159204.0,169820.0,172446.0,181744.0,,,,3336.0,46188.0,95800.0,135163.0,153146.0,165430.0,178462.0,,,,3.270709887301034,1.6136194096124472,1.168255365987892,1.0666817416647822,1.0154634318690379,1.0539183280563191,,,,13.845323741007194,2.074131809127912,1.4108872651356994,1.133046765756901,1.0802110404450656,1.0787765217916945,,,
Other Liab,1992,38377.0,98045.0,138205.0,154554.0,171701.0,177467.0,,,,,6647.0,49319.0,94860.0,129306.0,148235.0,165476.0,,,,,2.554785418349532,1.4096078331378448,1.1182952859882058,1.1109450418623912,1.0335816331879255,,,,,7.419738227771927,1.9233966625438472,1.3631246046805818,1.1463891853432941,1.1163085641042938,,,,
Other Liab,1993,53001.0,150478.0,196273.0,224523.0,232681.0,,,,,,8056.0,81087.0,147732.0,193275.0,217199.0,,,,,,2.839153978226826,1.3043302010925184,1.1439321761016543,1.0363348075698258,,,,,,10.06541708043694,1.8218950016648785,1.3082812119242953,1.1237821756564481,,,,,
Other Liab,1994,50848.0,127767.0,187297.0,233255.0,,,,,,,9720.0,65339.0,130303.0,186750.0,,,,,,,2.512724197608559,1.4659262563885824,1.2453749926587185,,,,,,,6.722119341563786,1.9942607018778984,1.433198007720467,,,,,,
Other Liab,1995,59140.0,149648.0,215701.0,,,,,,,,7171.0,82822.0,160302.0,,,,,,,,2.5304024349002368,1.4413891264834813,,,,,,,,11.549574675777437,1.9355002294076453,,,,,,,
Other Liab,1996,71637.0,159561.0,,,,,,,,,16696.0,88800.0,,,,,,,,,2.227354579337493,,,,,,,,,5.318639195016771,,,,,,,,
Other Liab,1997,82937.0,,,,,,,,,,21098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Auto,1988,4763096.0,6055919.0,6351549.0,6598687.0,6708849.0,6773053.0,6800607.0,6813405.0,6820597.0,6821730.0,2439272.0,4722902.0,5705646.0,6238289.0,6519491.0,6677426.0,6750431.0,6787444.0,6808809.0,6815646.0,1.2714249303394263,1.0488167031296158,1.0389098785193973,1.0166945333215531,1.0095700469633464,1.0040681801840323,1.0018818908370974,1.0010555661963438,1.000166114491151,1.9361932576604823,1.2080805403118675,1.0933536710829939,1.045076783073051,1.0242250506979762,1.010933105061741,1.0054830573040447,1.0031477239443891,1.001004140371686
PP Auto,1989,5452232.0,6646499.0,7218022.0,7484239.0,7606752.0,7669656.0,7702824.0,7717766.0,7726206.0,,2828267.0,5368026.0,6494597.0,7096377.0,7417869.0,7575814.0,7655217.0,7693240.0,7712077.0,,1.2190418529512317,1.0859885783477887,1.036882264975086,1.0163694665549832,1.0082694953115336,1.0043245746614973,1.0019398080496191,1.0010935807071633,,1.8979912434009942,1.2098669045194639,1.0926585591069007,1.0453036810192018,1.0212925032782325,1.0104811179366335,1.0049669395394016,1.0024485132401952,
PP Auto,1990,5753659.0,7264555.0,7878421.0,8156023.0,8285605.0,8347624.0,8373442.0,8390029.0,,,3186948.0,5913490.0,7140613.0,7774615.0,8096374.0,8251086.0,8325184.0,8364955.0,,,1.2625974184427684,1.0845015283110941,1.035235740765821,1.0158878904583766,1.0074851504506912,1.003092856122892,1.0019809058210472,,,1.8555338838286661,1.207512484167556,1.0887881754689688,1.041385843543378,1.0191088010509395,1.0089803936112167,1.0047771917113184,,
PP Auto,1991,5776672.0,7214690.0,7784418.0,8071744.0,8179362.0,8234074.0,8267402.0,,,,3192619.0,5878000.0,7075254.0,7698459.0,7996404.0,8140065.0,8215810.0,,,,1.2489353731698805,1.0789677726970943,1.036910402293402,1.0133326825033102,1.006689030269109,1.004047571105142,,,,1.841121662183931,1.203683906090507,1.0880823501177483,1.038701901250627,1.0179657005824119,1.009305208250794,,,
PP Auto,1992,6454048.0,7904110.0,8510936.0,8788254.0,8907433.0,8974166.0,,,,,3561950.0,6474291.0,7763969.0,8404713.0,8716926.0,8876813.0,,,,,1.224674808740189,1.0767734760776355,1.0325837252212917,1.0135611692606974,1.0074918329444633,,,,,1.8176254579654403,1.199199881500538,1.0825278926281132,1.0371473719566628,1.0183421311595395,,,,
PP Auto,1993,6978642.0,8493687.0,9106532.0,9395045.0,9533538.0,,,,,,3895076.0,7024867.0,8343417.0,9003120.0,9337099.0,,,,,,1.217097395166567,1.0721530002224005,1.0316819838770677,1.0147410682971716,,,,,,1.8035250146595343,1.1876975037392168,1.0790686837299395,1.0370959178595864,,,,,
PP Auto,1994,7637488.0,9136949.0,9732662.0,10058423.0,,,,,,,4323103.0,7590944.0,8924062.0,9640098.0,,,,,,,1.1963290809753155,1.0651982406818732,1.033470904465808,,,,,,,1.7559017215180854,1.1756195276898367,1.080236555954004,,,,,,
PP Auto,1995,7862480.0,9159345.0,9808651.0,,,,,,,,4491070.0,7664190.0,9006113.0,,,,,,,,1.1649435038308524,1.0708900035974187,,,,,,,,1.706539866891409,1.175089996464075,,,,,,,
PP Auto,1996,7733548.0,8965196.0,,,,,,,,,4444088.0,7486113.0,,,,,,,,,1.1592604067369854,,,,,,,,,1.684510522743924,,,,,,,,
PP Auto,1997,7844762.0,,,,,,,,,,4344144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products Liab,1988,696.0,737.0,881.0,1002.0,1379.0,1451.0,1741.0,1814.0,1818.0,1850.0,286.0,547.0,751.0,887.0,1324.0,1426.0,1699.0,1746.0,1816.0,1849.0,1.0589080459770115,1.1953867028493894,1.1373439273552781,1.37624750499002,1.0522117476432198,1.1998621640248104,1.04192992533027,1.0022050716648292,1.0176017601760177,1.9125874125874125,1.3729433272394882,1.181091877496671,1.4926719278466742,1.0770392749244713,1.1914446002805048,1.027663331371395,1.0400916380297824,1.0181718061674008
Products Liab,1989,428.0,351.0,617.0,718.0,761.0,788.0,797.0,802.0,804.0,,134.0,303.0,581.0,700.0,744.0,783.0,797.0,797.0,799.0,,0.8200934579439252,1.7578347578347577,1.1636952998379255,1.0598885793871866,1.0354796320630748,1.0114213197969544,1.0062735257214555,1.0024937655860349,,2.2611940298507465,1.9174917491749175,1.2048192771084338,1.062857142857143,1.0524193548387097,1.0178799489144317,1.0,1.002509410288582,
Products Liab,1990,57.0,77.0,92.0,135.0,197.0,235.0,250.0,263.0,,,27.0,76.0,86.0,103.0,162.0,225.0,240.0,263.0,,,1.3508771929824561,1.1948051948051948,1.4673913043478262,1.4592592592592593,1.1928934010152283,1.0638297872340425,1.052,,,2.814814814814815,1.131578947368421,1.197674418604651,1.5728155339805825,1.3888888888888888,1.0666666666666667,1.0958333333333334,,
Products Liab,1991,23.0,121.0,140.0,141.0,172.0,189.0,190.0,,,,19.0,120.0,133.0,138.0,172.0,189.0,189.0,,,,5.260869565217392,1.1570247933884297,1.0071428571428571,1.2198581560283688,1.0988372093023255,1.0052910052910053,,,,6.315789473684211,1.1083333333333334,1.037593984962406,1.2463768115942029,1.0988372093023255,1.0,,,
Products Liab,1992,48.0,109.0,101.0,107.0,131.0,130.0,,,,,46.0,59.0,101.0,107.0,130.0,130.0,,,,,2.2708333333333335,0.926605504587156,1.0594059405940595,1.2242990654205608,0.9923664122137404,,,,,1.2826086956521738,1.7118644067796611,1.0594059405940595,1.2149532710280373,1.0,,,,
Products Liab,1993,119.0,133.0,150.0,211.0,278.0,,,,,,119.0,124.0,139.0,203.0,278.0,,,,,,1.1176470588235294,1.1278195488721805,1.4066666666666667,1.3175355450236967,,,,,,1.0420168067226891,1.1209677419354838,1.460431654676259,1.3694581280788178,,,,,
Products Liab,1994,21.0,60.0,59.0,100.0,,,,,,,17.0,57.0,58.0,100.0,,,,,,,2.857142857142857,0.9833333333333333,1.694915254237288,,,,,,,3.3529411764705883,1.0175438596491229,1.7241379310344827,,,,,,
Products Liab,1995,57.0,53.0,54.0,,,,,,,,50.0,51.0,51.0,,,,,,,,0.9298245614035088,1.0188679245283019,,,,,,,,1.02,1.0,,,,,,,
Products Liab,1996,10.0,11.0,,,,,,,,,11.0,11.0,,,,,,,,,1.1,,,,,,,,,1.0,,,,,,,,
Products Liab,1997,20.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work Comp,1988,50758.0,94150.0,106804.0,113733.0,120148.0,123986.0,127650.0,128622.0,129791.0,130625.0,22190.0,60834.0,85104.0,100151.0,108812.0,114967.0,118790.0,121558.0,123492.0,125049.0,1.8548800189132748,1.1344025491237386,1.0648758473465414,1.0564040340094782,1.031943935812498,1.0295517235816947,1.007614571092832,1.0090886473542628,1.0064257151882643,2.741505182514646,1.3989545320051286,1.1768072006016168,1.0864794160817166,1.0565654523398154,1.03325302043195,1.0233016247158853,1.015910100528143,1.0126081041686912
Work Comp,1989,65423.0,110204.0,131509.0,140383.0,147011.0,150266.0,152264.0,155017.0,155979.0,,26542.0,77798.0,106407.0,122422.0,133359.0,138599.0,143029.0,145712.0,147358.0,,1.6844840499518519,1.1933232913505862,1.0674782714491022,1.0472136939657937,1.0221412003183434,1.013296421013403,1.0180804392371146,1.006205770979957,,2.931128023509909,1.3677343890588447,1.1505070155158965,1.0893385175867083,1.0392924362060303,1.0319627125736839,1.018758433604374,1.0112962556275393,
Work Comp,1990,68719.0,141501.0,165694.0,181789.0,189149.0,194315.0,196897.0,201780.0,,,32977.0,100494.0,134886.0,157758.0,168991.0,178065.0,182787.0,187760.0,,,2.059124841746824,1.1709740567204472,1.0971368908952648,1.0404864980829422,1.027311801807041,1.0132877029565397,1.024799768406832,,,3.047396670406647,1.3422293868290645,1.169565410791335,1.071203995993864,1.053695167198253,1.0265184061999832,1.027206530004869,,
Work Comp,1991,82409.0,165813.0,199016.0,213698.0,222994.0,229774.0,232413.0,,,,38604.0,114428.0,157103.0,181322.0,197411.0,208804.0,213396.0,,,,2.0120739239646155,1.2002436479648761,1.073772962977851,1.043500641091634,1.0304044054996995,1.011485198499395,,,,2.964148792871205,1.3729419372880765,1.1541600096751812,1.0887316486692182,1.0577120829133129,1.0219919158636808,,,
Work Comp,1992,97138.0,183451.0,208163.0,220275.0,227404.0,234320.0,,,,,42466.0,125820.0,164776.0,189045.0,204377.0,213904.0,,,,,1.8885606045008132,1.1347062703392186,1.058185172196788,1.0323640903416185,1.030412833547343,,,,,2.9628408609240333,1.3096169130503894,1.1472847987571007,1.0811023830304953,1.0466148343502448,,,,
Work Comp,1993,106508.0,167688.0,195533.0,212777.0,220063.0,,,,,,46447.0,116764.0,154897.0,179419.0,193676.0,,,,,,1.574416945205994,1.166052430704642,1.0881897173367154,1.0342424228182556,,,,,,2.5139190905763558,1.326581823164674,1.1583116522592432,1.0794620413668563,,,,,
Work Comp,1994,93736.0,141067.0,160848.0,173457.0,,,,,,,41368.0,100344.0,132021.0,151081.0,,,,,,,1.5049394042843731,1.1402241488087221,1.0783907788719784,,,,,,,2.425643009089151,1.3156840468787372,1.1443709712848713,,,,,,
Work Comp,1995,81309.0,116739.0,135447.0,,,,,,,,35719.0,83216.0,111268.0,,,,,,,,1.435745120466369,1.160254927659137,,,,,,,,2.329740474257398,1.3370986348779081,,,,,,,
Work Comp,1996,66073.0,92365.0,,,,,,,,,28746.0,66033.0,,,,,,,,,1.397923508846276,,,,,,,,,2.297119599248591,,,,,,,,
Work Comp,1997,56003.0,,,,,,,,,,25265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
